Wall time,Step,Value
1720420363.808005,0,11.993805885314941
1720420541.864651,1,11.730204582214355
1720420711.5992289,2,10.249680519104004
1720420881.5640693,3,12.40090560913086
1720421051.5684476,4,10.391441345214844
1720421220.8795822,5,10.211640357971191
1720421391.1339674,6,9.963583946228027
1720421560.907032,7,11.36635684967041
1720421731.6943173,8,11.175993919372559
1720421901.294514,9,11.008319854736328
1720422072.1724463,10,11.47502613067627
1720422241.8460531,11,11.565020561218262
1720422413.380071,12,12.300021171569824
1720422583.7306259,13,11.40963363647461
1720422753.6139846,14,11.05593204498291
1720422929.9791944,15,11.97726821899414
1720423100.0268402,16,12.078747749328613
1720423271.0168095,17,11.479263305664062
1720423440.4478908,18,11.794137954711914
1720423611.4787023,19,11.207080841064453
1720423782.9445593,20,11.113484382629395
1720423953.781282,21,11.07225227355957
1720424124.5077636,22,12.576705932617188
1720424295.2227604,23,11.019179344177246
1720424465.3935685,24,12.322577476501465
1720424635.7627923,25,10.997268676757812
1720424806.3209968,26,12.163091659545898
1720424975.448682,27,11.67884635925293
1720425144.7279286,28,12.060617446899414
1720425315.4040518,29,11.663875579833984
1720425484.7217574,30,11.623255729675293
1720425654.1143177,31,12.27876091003418
1720425823.5554764,32,12.143826484680176
1720425993.3496802,33,13.235971450805664
1720426162.9829,34,12.4194974899292
1720426332.0446367,35,12.862765312194824
1720426501.7378948,36,11.903606414794922
1720426671.2557263,37,12.042829513549805
1720426841.7566357,38,11.097817420959473
1720427011.1731973,39,11.655119895935059
1720427181.3063142,40,13.276863098144531
1720427349.8062787,41,12.287675857543945
1720427519.5301452,42,12.716059684753418
1720427689.3256063,43,11.95511531829834
1720427858.8371391,44,12.608807563781738
1720428029.7815752,45,12.018289566040039
1720428199.5109272,46,11.948197364807129
1720428369.0310843,47,12.398118019104004
1720428539.3549032,48,11.872221946716309
1720428708.6597512,49,11.552123069763184
1720428878.0834439,50,11.76668930053711
1720429047.6220946,51,13.400904655456543
1720429217.0628839,52,10.584081649780273
1720429387.357422,53,11.371968269348145
1720429557.4527242,54,12.091867446899414
1720429727.3577292,55,11.487125396728516
1720429897.0578887,56,12.005364418029785
1720430066.9680798,57,11.593092918395996
1720430236.6395667,58,11.441840171813965
1720430406.7523944,59,12.114287376403809
1720430576.204716,60,11.840195655822754
1720430747.1173356,61,12.306739807128906
1720430917.6352658,62,12.509247779846191
1720431090.3235288,63,11.22547721862793
1720431261.2137148,64,11.688800811767578
1720431431.8830268,65,12.115477561950684
1720431600.9755187,66,12.07117748260498
1720431772.370643,67,12.615403175354004
1720431943.2874765,68,13.000906944274902
1720432115.1110806,69,11.840327262878418
1720432286.1463022,70,11.368300437927246
1720432457.619354,71,11.900800704956055
1720432629.188121,72,12.834940910339355
1720432799.8296843,73,12.031449317932129
1720432969.7763765,74,13.19213581085205
1720433140.1347737,75,12.71069049835205
1720433310.5753515,76,12.31110668182373
1720433481.2258408,77,11.249394416809082
1720433652.1393607,78,11.717540740966797
1720433822.1188018,79,12.00393295288086
1720433991.9521587,80,13.065644264221191
1720434162.4176989,81,12.673258781433105
1720434332.5845888,82,12.246731758117676
1720434502.8231957,83,12.81541633605957
1720434671.9840157,84,12.100299835205078
1720434842.591944,85,12.378443717956543
1720435013.0837502,86,12.736769676208496
1720435183.3070922,87,12.668654441833496
1720435352.866752,88,12.130313873291016
1720435522.6934676,89,12.674125671386719
1720435692.8736892,90,11.681063652038574
1720435862.884918,91,9.805642127990723
1720436032.597002,92,12.567627906799316
1720436201.8682182,93,11.990947723388672
1720436371.351123,94,12.767470359802246
1720436540.525695,95,11.961339950561523
1720436710.702997,96,12.109719276428223
1720436880.0104418,97,11.9457368850708
1720437050.0891016,98,12.470873832702637
1720437220.1519475,99,12.742935180664062
1720437389.8453317,100,12.509235382080078
1720437559.1984427,101,13.547799110412598
1720437728.5482807,102,11.981968879699707
1720437897.9717476,103,11.620959281921387
1720438067.2156794,104,12.388629913330078
1720438236.822981,105,12.318909645080566
1720438406.4087267,106,11.910438537597656
1720438576.7393868,107,12.720884323120117
1720438746.4291432,108,11.328069686889648
1720438917.0388048,109,11.799659729003906
1720439086.5367537,110,10.83240032196045
1720439256.0059755,111,12.368417739868164
1720439425.4650433,112,12.002676010131836
1720439595.0836773,113,12.064020156860352
1720439764.5703125,114,11.30897331237793
1720439934.7919717,115,11.44834041595459
1720440104.364796,116,11.300025939941406
1720440274.936606,117,12.943145751953125
1720440444.3527448,118,12.65955638885498
1720440613.8453887,119,11.277902603149414
1720440783.871139,120,10.749505996704102
1720440953.774503,121,12.211226463317871
1720441124.353719,122,11.214263916015625
1720441293.8650064,123,12.244624137878418
1720441464.0560057,124,11.59334659576416
1720441640.5525935,125,12.07555103302002
1720441823.5614688,126,11.851560592651367
1720442008.3296232,127,13.005398750305176
1720442191.9829822,128,12.0717134475708
1720442377.2890632,129,11.157146453857422
1720442559.3327432,130,10.96743392944336
1720442743.261186,131,11.686474800109863
1720442926.4344244,132,11.883577346801758
1720443109.842996,133,11.355655670166016
1720443293.4329965,134,12.118135452270508
1720443476.603506,135,12.522802352905273
1720443660.1940935,136,11.973407745361328
1720443843.0951548,137,13.476103782653809
1720444027.4433885,138,15.497552871704102
1720444211.0530558,139,12.674700736999512
1720444395.3320727,140,12.756393432617188
1720444580.111738,141,10.841476440429688
1720444763.4535856,142,11.595346450805664
1720444947.9213867,143,11.720381736755371
1720445130.9858673,144,11.76725959777832
1720445304.7175174,145,13.339265823364258
1720445473.8720422,146,10.947990417480469
1720445643.3993495,147,11.897425651550293
1720445813.6945617,148,12.035408973693848
1720445983.4629192,149,12.91151237487793
1720446153.3460224,150,11.654200553894043
1720446322.8203468,151,12.209549903869629
1720446492.7949522,152,12.317115783691406
1720446663.095774,153,10.934905052185059
1720446831.9865274,154,11.979554176330566
1720447001.9787402,155,11.441052436828613
1720447170.9387844,156,12.402485847473145
1720447340.380296,157,11.628582954406738
1720447509.6527195,158,12.866467475891113
1720447680.510782,159,11.393485069274902
1720447850.276038,160,12.5852689743042
1720448019.7258992,161,12.84537124633789
1720448188.9704022,162,12.991507530212402
1720448358.5843432,163,11.158299446105957
1720448528.677647,164,11.746163368225098
1720448697.7623506,165,13.155024528503418
1720448867.5363562,166,11.902888298034668
1720449037.1523895,167,12.097290992736816
1720449206.777698,168,11.599956512451172
1720449375.978806,169,12.50207805633545
1720449545.841275,170,11.409496307373047
1720449714.8930244,171,12.94144058227539
1720449885.8583703,172,12.412785530090332
1720450055.0824142,173,12.950577735900879
1720450224.5783467,174,11.680310249328613
1720450396.235547,175,12.136749267578125
1720450567.322558,176,11.351397514343262
1720450738.3041306,177,11.028255462646484
1720450909.0103948,178,11.923047065734863
1720451078.3878732,179,12.136872291564941
1720451248.3823028,180,11.380058288574219
1720451418.5848439,181,12.101079940795898
1720451588.6645744,182,11.4599609375
1720451758.1949115,183,11.543272018432617
1720451927.8562136,184,12.845357894897461
1720452099.049015,185,12.871538162231445
1720452269.7177052,186,14.366344451904297
1720452439.2370367,187,11.846611022949219
1720452608.7885613,188,11.412593841552734
1720452778.4480405,189,11.535115242004395
1720452949.0820866,190,10.88487720489502
1720453118.7431426,191,11.749410629272461
1720453288.2668803,192,11.765616416931152
1720453457.8964458,193,11.891717910766602
1720453626.9406798,194,10.178546905517578
1720453797.1276743,195,11.690340042114258
1720453966.666804,196,12.285134315490723
1720454135.9700446,197,12.359928131103516
1720454304.6975107,198,11.945122718811035
